"frb_name","telescope","rmp_dm","rmp_width","rmp_snr","rmp_flux"
"FRB20190614D","VLA","959.2&plusmn5","5","8.27","0.124"
"FRB191108","Apertif","588.1&plusmn0.1","0.34","103","27"
"FRB190907.J08+46","CHIME/FRB","310.9&plusmn0.4","3","0","0.3"
"FRB190711","ASKAP","593.1&plusmn0.4","6.5","23.8","null"
"FRB190611","ASKAP","321.4&plusmn0.2","2","9.3","null"
"FRB190608","ASKAP","338.7&plusmn0.5","6","16.1","null"
"FRB190604.J1435+53","CHIME/FRB","552.7&plusmn0.2","1.2","0","0.6"
"FRB190523","DSA-10","760.8&plusmn0.6","0.42","11.5","null"
"FRB190417.J1939+59","CHIME/FRB","1378.1&plusmn0.2","3.3","0","0.5"
"FRB190303.J1353+48","CHIME/FRB","222.4&plusmn0.2","4.5","0","0.5"
"FRB190222.J2052+69","CHIME/FRB","460.6&plusmn0.1","2.97","0","null"
"FRB190212.J18+81","CHIME/FRB","301.7&plusmn0.3","4.1","0","0.4"
"FRB190212.J02+20","CHIME/FRB","651.1&plusmn0.4","10","0","null"
"FRB190209.J0937+77","CHIME/FRB","424.6&plusmn0.6","3.7","0","null"
"FRB190208.J1855+46","CHIME/FRB","579.9&plusmn0.2","0.91","0","0.4"
"FRB190117.J2207+17","CHIME/FRB","393.3&plusmn0.1","1.44","0","1.7"
"FRB190116.J1249+27","CHIME/FRB","444&plusmn0.6","4","0","null"
"FRB190102","ASKAP","363.6&plusmn0.3","1.7","14","null"
"FRB181228","UTMOST","354.2&plusmn0.9","1.24","12","19.23"
"FRB181128.J0456+63","CHIME/FRB","450.2&plusmn0.3","2.43","0","null"
"FRB181123","FAST","1812&plusmn2","1.05","0","0.065"
"FRB181119.J12+65","CHIME/FRB","364.2&plusmn1","6.3","0","null"
"FRB181112","ASKAP","589.27&plusmn0.03","2.1","19.3","null"
"FRB181030.J1054+73","CHIME/FRB","103.5&plusmn0.7","0.59","0","null"
"FRB181017.J1705+68","CHIME/FRB","1281.9&plusmn0.4","13.4","0","null"
"FRB181017","UTMOST","239.97&plusmn0.03","0.32","66","161"
"FRB181016","UTMOST","1982.8&plusmn2.8","8.6","17","10.19"
"FRB180924","ASKAP","361.42&plusmn0.06","1.3","194","12.3"
"FRB180916.J0158+65","CHIME/FRB","348.8&plusmn0.2","0.87","0","null"
"FRB180908.J1232+74","CHIME/FRB","195.7&plusmn0.9","1.91","0","0.6"
"FRB180817.J1533+42","CHIME/FRB","1006.84&plusmn0.002","0.37","69.9","null"
"FRB180814.J1554+74","CHIME/FRB","238.32&plusmn0.01","0.18","29.7","null"
"FRB180814.J0422+73","CHIME/FRB","189.38&plusmn0.09","2.6","24","null"
"FRB180812.J0112+80","CHIME/FRB","802.57&plusmn0.04","1.25","19.8","null"
"FRB180810.J1159+83","CHIME/FRB","169.134&plusmn0.002","0.28","56.7","null"
"FRB180810.J0646+34","CHIME/FRB","414.95&plusmn0.02","0.27","17.7","null"
"FRB180806.J1515+75","CHIME/FRB","739.98&plusmn0.03","0.69","17.5","null"
"FRB180801.J2130+72","CHIME/FRB","656.2&plusmn0.03","0.51","41.1","null"
"FRB180730.J0353+87","CHIME/FRB","849.047&plusmn0.002","0.42","92.4","null"
"FRB180729.J1316+55","CHIME/FRB","109.61&plusmn0.002","0.12","243.1","null"
"FRB180729.J0558+56","CHIME/FRB","317.37&plusmn0.01","0.08","25.2","null"
"FRB180727.J1311+26","CHIME/FRB","642.07&plusmn0.03","0.78","14.2","null"
"FRB180725.J0613+67","CHIME/FRB","715.98&plusmn0.02","0.31","34.5","null"
"FRB180714","parkes","1467.92&plusmn0.3","2.9","22","0.6"
"FRB180528","UTMOST","899.3&plusmn0.6","2","11","15.75"
"FRB180525","ASKAP","388.1&plusmn0.3","3.8","27.4","78.9"
"FRB180515","ASKAP","355.2&plusmn0.5","1.9","12.1","24.2"
"FRB180430","ASKAP","264.1&plusmn0.5","1.2","28.2","147.5"
"FRB180417","ASKAP","474.8","2.52","24.2","21.8"
"FRB180324","ASKAP","431&plusmn0.4","4.3","9.8","16.5"
"FRB180321","Pushchino","594&plusmn5","1670","8.2","0.54"
"FRB180315","ASKAP","479&plusmn0.4","2.4","10.4","23.3"
"FRB180311","parkes","1570.9&plusmn0.5","13.4","11.5","0.15"
"FRB180309","parkes","263.42&plusmn0.01","0.475","411","27.6"
"FRB180212","ASKAP","167.5&plusmn0.5","1.81","18.3","53"
"FRB180131","ASKAP","657.7&plusmn0.5","4.5","13.8","22.2"
"FRB180130","ASKAP","343.5&plusmn0.4","4.1","10.2","23.1"
"FRB180128.2","ASKAP","495.9&plusmn0.7","2.3","9.6","28.7"
"FRB180128.0","ASKAP","441.4&plusmn0.2","2.9","12.4","17.5"
"FRB180119","ASKAP","402.7&plusmn0.7","2.7","15.9","40.7"
"FRB180110","ASKAP","715.7&plusmn0.2","3.2","35.6","128.1"
"FRB171216","ASKAP","203.1&plusmn0.5","1.9","8","21"
"FRB171213","ASKAP","158.6&plusmn0.2","1.5","25.1","88.6"
"FRB171209","parkes","1457.4&plusmn0.03","2.5","40","1.48"
"FRB171116","ASKAP","618.5&plusmn0.5","3.2","11.8","19.6"
"FRB171020","ASKAP","114.1&plusmn0.2","3.2","19.5","117.6"
"FRB171019","ASKAP","460.8&plusmn1.1","5.4","23.4","40.5"
"FRB171004","ASKAP","304&plusmn0.3","2","10.9","22"
"FRB171003","ASKAP","463.2&plusmn1.2","2","13.8","40.5"
"FRB170922","UTMOST","1111&plusmn1","34.1","20","5.19"
"FRB170906","ASKAP","390.3&plusmn0.4","2.5","17","29.6"
"FRB170827","UTMOST","176.8&plusmn0.04","0.4","110","60"
"FRB170712","ASKAP","312.79&plusmn0.07","1.4","12.7","37.8"
"FRB170707","ASKAP","235.2&plusmn0.6","3.5","9.5","14.8"
"FRB170606","Pushchino","247&plusmn5","3300","8.3","0.54"
"FRB170428","ASKAP","991.7&plusmn0.9","4.4","10.5","7.7"
"FRB170416","ASKAP","523.2&plusmn0.2","5","13","19.4"
"FRB170107","ASKAP","609.5&plusmn0.5","2.4","16","24.1"
"FRB161202","Pushchino","291&plusmn4","810","7.1","0.29"
"FRB160920","Pushchino","1767&plusmn4","5000","9.1","0.22"
"FRB160608","UTMOST","682&plusmn7","9","12","4.3"
"FRB160410","UTMOST","278&plusmn3","4","13","7"
"FRB160317","UTMOST","1165&plusmn11","21","13","3"
"FRB160206","Pushchino","1262&plusmn5","1590","7.9","0.26"
"FRB160102","parkes","2596.1&plusmn0.3","3.4","16","0.5"
"FRB151230","parkes","960.4&plusmn0.5","4.4","17","0.42"
"FRB151206","parkes","1909.8&plusmn0.6","3","10","0.3"
"FRB151125","Pushchino","273&plusmn4","1680","8.5","0.54"
"FRB151018","Pushchino","570&plusmn5","2500","6.2","1.4"
"FRB150807","parkes","266.5&plusmn0.1","0.35","0","128"
"FRB150610","parkes","1593.9&plusmn0.6","2","18","0.7"
"FRB150418","parkes","776.2&plusmn0.5","0.8","39","2.2"
"FRB150215","parkes","1105.6&plusmn0.8","2.88","19","0.7"
"FRB141216","Pushchino","545&plusmn5","870","7.6","0.23"
"FRB141113","arecibo","400.3","2","8.4","0.039"
"FRB140514","parkes","562.7&plusmn0.6","2.8","16","0.471"
"FRB140212","Pushchino","910&plusmn4","390","9.2","0.26"
"FRB131104","parkes","779&plusmn1","2.08","30","1.12"
"FRB131030","Pushchino","203&plusmn4","530","10.1","0.24"
"FRB130729","parkes","861&plusmn2","15.61","14","0.22"
"FRB130628","parkes","469.88&plusmn0.01","0.64","29","1.91"
"FRB130626","parkes","952.4&plusmn0.1","1.98","21","0.74"
"FRB121102","arecibo","557&plusmn2","3","14","0.4"
"FRB121029","Pushchino","732&plusmn5","320","7.3","0.34"
"FRB121002","parkes","1629.18&plusmn0.02","5.44","16","0.43"
"FRB120127","parkes","553.3&plusmn0.3","1.1","11","0.5"
"FRB110703","parkes","1103.6&plusmn0.7","4.3","16","0.5"
"FRB110626","parkes","723&plusmn0.3","1.4","11","0.4"
"FRB110523","GBT","623.3&plusmn0.06","1.73","42","0.6"
"FRB110220","parkes","944.38&plusmn0.05","5.6","49","1.3"
"FRB110214","parkes","168.9&plusmn0.5","1.9","13","27"
"FRB090625","parkes","899.55&plusmn0.01","1.92","30","1.14"
"FRB010724","parkes","375","5","23","30"
"FRB010621","parkes","745&plusmn10","7","16.3","0.41"
"FRB010312","parkes","1187&plusmn14","24.3","11","0.25"
"FRB010305","Parkes","350&plusmn5","9","10.2","4.2"
"FRB010125","parkes","790&plusmn3","9.4","17","0.3"
